자치구,동,법정동코드,단지기본일련번호,아파트,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,시작가격_만원,종료가격_만원,연평균상승률,준공연도,세대수
강남구,대치동,1168010600,191,대치효성,187,78.99,59.84,,60000,200000,0.1279448730054992,1999,83
강남구,대치동,1168010600,191,대치효성,49535,112.09,84.91,A,77000,222500,0.1119465943098105,1999,83
강남구,대치동,1168010600,191,대치효성,93475,112.12,84.94,B,77000,222500,0.1119465943098105,1999,83
강남구,대치동,1168010600,13186,동부센트레빌,12976,152.54,121.74,,194000,512500,0.1020193341691526,2005,805
강남구,대치동,1168010600,13186,동부센트레빌,61000,178.76,145.83,,201500,575000,0.1105529738777284,2005,805
강남구,대치동,1168010600,13186,동부센트레빌,101767,202.99,161.47,,240000,625000,0.1004412906119629,2005,805
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,74436,88.15,59.99,A,108000,330000,0.1181730440153012,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,27912,88.0,59.99,B,108000,330000,0.1181730440153012,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,163224,113.15,84.97,A,146000,435000,0.1153563395975747,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,141940,112.24,84.98,B,146000,435000,0.1153563395975747,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,112788,111.83,84.99,C,146000,435000,0.1153563395975747,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,197861,124.11,93.18,,160000,465000,0.1125852474404751,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,222789,126.57,94.48,D,162500,505000,0.1200664823098704,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,203952,125.23,94.49,C,162500,505000,0.1200664823098704,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,208571,126.22,94.49,A,162500,505000,0.1200664823098704,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,220506,125.57,94.5,B,162500,505000,0.1200664823098704,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,221744,126.12,94.51,E,162500,505000,0.1200664823098704,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,223662,150.66,114.14,D,202500,590000,0.112865549643198,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,217143,150.36,114.14,A,202500,590000,0.112865549643198,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,212128,149.36,114.15,C,202500,590000,0.112865549643198,2015,1278
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,214907,149.4,114.17,B,202500,590000,0.112865549643198,2015,1278
강남구,대치동,1168010600,36794,래미안대치팰리스2단지,166204,118.94,84.99,E,144500,405000,0.108558758576545,2015,330
