자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월,세대수
강남구,대치동,1168010600,345179,한보미도맨션,1,아파트,1215169,114.77,84.96,,395000.0,202607,2436.0
강남구,대치동,1168010600,37047,풍림아이원,1,아파트,35878,93.22,83.65,B,150000.0,202607,90.0
강남구,대치동,1168010600,37047,풍림아이원,1,아파트,81478,94.38,84.69,A,161000.0,202607,90.0
강남구,대치동,1168010600,37047,풍림아이원,1,아파트,1707263,94.54,84.54,C,161000.0,202607,90.0
강남구,대치동,1168010600,37047,풍림아이원,1,아파트,1707264,94.58,84.87,D,161000.0,202607,90.0
강남구,대치동,1168010600,24354,하이캐슬,1,아파트,23303,104.13,84.06,A,,202607,
강남구,대치동,1168010600,24354,하이캐슬,1,아파트,70332,104.16,84.27,B,,202607,
강남구,대치동,1168010600,24354,하이캐슬,1,아파트,109460,104.52,84.33,C,,202607,
강남구,대치동,1168010600,24354,하이캐슬,1,아파트,139290,105.95,84.54,D,,202607,
강남구,대치동,1168010600,194,현대(1차),1,아파트,190,101.03,84.27,A,250000.0,202607,120.0
강남구,대치동,1168010600,194,현대(1차),1,아파트,49538,101.7,84.89,B,250000.0,202607,120.0
강남구,도곡동,1168011800,157,개포4차우성(양재우성),1,아파트,154,113.23,84.6,,372500.0,202607,459.0
강남구,대치동,1168010600,18942,화인하이빌,1,아파트,187279,93.84,84.34,,113100.0,202607,18.0
강남구,대치동,1168010600,18942,화인하이빌,1,아파트,195938,94.56,84.99,,113500.0,202607,18.0
강남구,도곡동,1168011800,161,개포한신,1,아파트,93456,103.93,83.86,,350000.0,202607,620.0
강남구,도곡동,1168011800,175,경남,1,아파트,93462,106.33,84.94,,222500.0,202607,348.0
강남구,도곡동,1168011800,175,경남,1,아파트,127839,116.34,84.94,,222500.0,202607,348.0
강남구,도곡동,1168011800,162,대림,1,아파트,159,102.39,84.93,A,255000.0,202607,197.0
강남구,도곡동,1168011800,162,대림,1,아파트,49509,104.47,84.95,B,255000.0,202607,197.0
강남구,도곡동,1168011800,20491,대명비발디,1,아파트,196204,101.33,83.72,A,,202607,
강남구,도곡동,1168011800,20491,대명비발디,1,아파트,67219,102.21,84.44,B,,202607,
강남구,도곡동,1168011800,14799,도곡1차아이파크,1,아파트,14562,109.19,84.12,,262500.0,202607,321.0
강남구,도곡동,1168011800,13886,도곡렉슬,1,아파트,194760,109.51,84.99,A1,365000.0,202607,3002.0
강남구,도곡동,1168011800,13886,도곡렉슬,1,아파트,201536,109.37,84.92,B1,365000.0,202607,3002.0
강남구,도곡동,1168011800,13886,도곡렉슬,1,아파트,206681,110.94,84.92,B,365000.0,202607,3002.0
강남구,도곡동,1168011800,13886,도곡렉슬,1,아파트,185789,111.08,84.99,A,365000.0,202607,3002.0
강남구,도곡동,1168011800,176,도곡동삼성래미안,1,아파트,49520,112.77,84.76,,320000.0,202607,732.0
강남구,도곡동,1168011800,176,도곡동삼성래미안,1,아파트,93463,115.17,84.89,,327500.0,202607,732.0
강남구,도곡동,1168011800,30232,도곡한라비발디,1,아파트,29119,111.45,84.88,A,222500.0,202607,110.0
강남구,도곡동,1168011800,30232,도곡한라비발디,1,아파트,75535,111.45,84.88,AA,222500.0,202607,110.0
강남구,도곡동,1168011800,30232,도곡한라비발디,1,아파트,113699,111.45,84.88,AB,222500.0,202607,110.0
강남구,도곡동,1168011800,30232,도곡한라비발디,1,아파트,142657,111.65,84.95,B,222500.0,202607,110.0
강남구,도곡동,1168011800,22461,래미안도곡카운티,1,아파트,108352,110.59,84.67,,370000.0,202607,397.0
강남구,도곡동,1168011800,12298,롯데캐슬모닝,1,아파트,12101,105.37,84.51,A,212500.0,202607,60.0
강남구,도곡동,1168011800,12298,롯데캐슬모닝,1,아파트,60235,105.39,84.91,B,212500.0,202607,60.0
강남구,도곡동,1168011800,164,매봉(삼성),1,아파트,49510,98.88,83.49,A,217500.0,202607,132.0
강남구,도곡동,1168011800,164,매봉(삼성),1,아파트,93457,100.61,84.95,B,217500.0,202607,132.0
강남구,도곡동,1168011800,159,도곡한신(MBC),1,아파트,49506,101.46,84.74,,255000.0,202607,421.0
강남구,도곡동,1168011800,180,삼성,1,아파트,127843,104.15,84.91,,277500.0,202607,231.0
강남구,도곡동,1168011800,180,삼성,1,아파트,1166165,104.02,84.81,,277500.0,202607,231.0
강남구,도곡동,1168011800,158,역삼럭키,1,아파트,155,112.0,84.97,,258333.0,202607,1094.0
강남구,도곡동,1168011800,167,우성,1,아파트,49512,101.17,84.83,,260000.0,202607,390.0
강남구,도곡동,1168011800,18886,울트라멤버스,1,아파트,18262,95.76,84.96,,175900.0,202607,19.0
강남구,도곡동,1168011800,19495,원팰리스.,1,아파트,175484,94.17,83.25,,106400.0,202607,19.0
강남구,도곡동,1168011800,15571,조이너스도곡,1,아파트,157321,109.25,84.98,,,202607,
강남구,도곡동,1168011800,800355,클래스원,1,아파트,1477495,101.08,83.81,A,,202607,
강남구,도곡동,1168011800,800355,클래스원,1,아파트,1477496,101.37,84.05,B,,202607,
강남구,도곡동,1168011800,168,현대(도곡),1,아파트,164,102.54,84.96,,227500.0,202607,211.0
강남구,도곡동,1168011800,169,현대그린,1,아파트,49513,96.61,84.66,A,230000.0,202607,171.0
강남구,도곡동,1168011800,169,현대그린,1,아파트,93458,96.67,84.72,B,230000.0,202607,171.0
강남구,도곡동,1168011800,169,현대그린,1,아파트,165,96.91,84.93,C,230000.0,202607,171.0
강남구,삼성동,1168010500,30893,SM드림빌.,1,아파트,143030,94.35,84.13,,,202607,
강남구,삼성동,1168010500,20710,골든카운티,1,아파트,107090,99.21,84.95,,,202607,
강남구,삼성동,1168010500,23372,동구싼타빌,1,아파트,176727,93.49,84.07,,123200.0,202607,19.0
강남구,삼성동,1168010500,13864,래미안삼성1차(105번지),1,아파트,13641,109.65,84.95,,272500.0,202607,112.0
강남구,삼성동,1168010500,46915,래미안라클래시,1,아파트,151175,113.4,84.99,A1,405000.0,202607,679.0
강남구,삼성동,1168010500,46915,래미안라클래시,1,아파트,1575657,113.3,84.98,A2,,202607,679.0
강남구,삼성동,1168010500,46915,래미안라클래시,1,아파트,169786,113.92,84.98,C,405000.0,202607,679.0
강남구,삼성동,1168010500,46915,래미안라클래시,1,아파트,183254,114.44,84.98,B,405000.0,202607,679.0
강남구,삼성동,1168010500,13865,래미안삼성1차(104번지),1,아파트,102224,105.99,84.99,B,262500.0,202607,77.0
강남구,삼성동,1168010500,13865,래미안삼성1차(104번지),1,아파트,61596,106.38,84.98,A,262500.0,202607,77.0
강남구,삼성동,1168010500,14766,래미안삼성2차,1,아파트,14529,115.07,84.92,,295000.0,202607,275.0
강남구,삼성동,1168010500,14767,롯데캐슬프레미어,1,아파트,62389,106.93,84.48,B,320000.0,202607,713.0
강남구,삼성동,1168010500,14767,롯데캐슬프레미어,1,아파트,14530,107.36,84.46,A,320000.0,202607,713.0
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트,166301,102.54,84.66,D,262500.0,202607,169.0
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트,180856,102.95,84.81,E,,202607,169.0
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트,35882,103.13,84.71,A,,202607,169.0
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트,81482,103.09,84.8,A1,262500.0,202607,169.0
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트,118409,103.02,84.95,B,,202607,169.0
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트,146165,103.05,84.96,C,262500.0,202607,169.0
