시작연도,매수기간(개월),매수전략,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2013,24,24개월,30,2015-06-30,98.80792236328125,1117.34,분할매수,0.0,964.1618042080897,1000000.0,1000000.0,9.05780331604223,0.0,0.0,955.1040008920475,105445433.90564327,105445433.90564327
2013,24,24개월,31,2015-07-31,103.31137084960938,1159.7,분할매수,0.0,955.1040008920475,1000000.0,1000000.0,8.2013,24,24개월,28,2015-04-30,99.09681701660156,1076.74,분할매수,0.0,982.4091342197339,1000000.0,1000000.0,9.37193888274912,0.0,0.0,973.0371953369848,103824534.8705858,103824534.8705858
2013,24,24개월,29,2015-05-31,101.3249282836914,1111.99,분할매수,0.0,973.032013,24,24개월,33,2015-09-30,94.13615417480469,1184.62,분할매수,0.0,937.9726183042848,1000000.0,1000000.0,8.967357575307874,0.0,0.0,929.0052607289769,103598552.07369508,103598552.07369508
2013,24,24개월,34,2015-10-31,104.83932495117188,1140.5,분할매수,0.0,929.0052607289769,1000000.0,1000000.0,8.363354283034287,0.0,0.0,920.6419064459426,110080462.37064669,110080462.37064669
2013,24,24개월,35,2015-11-30,105.47760009765625,1149.39,분할매수,0.0,920.6419064459426,1000000.0,1000000.0,8.248449993311175,0.0,0.0,912.3934564526314,110613928.33714318,110613928.33714318
2013,24,24개월,36,2015-12-31,103.79549407958984,1169.26,분할매수,0.0,912.3934564526314,1000000.0,1000000.0,8.23968115797513,0.0,0.0,904.1537752946563,109731645.91684863,109731645.91684863
2013,24,24개월,37,2016-01-31,96.6227798461914,1210.04,분할매수,0.0,904.1537752946563,1000000.0,1000000.0,8.55304476513904,0.0,0.0,895.6007305295173,104711334.39869913,104711334.39869913
2013,24,24개월,38,2016-02-29,95.11029052734375,1238.09,분할매수,0.0,895.6007305295173,1000000.0,1000000.0,8.492201215959062,0.0,0.0,887.1085293135582,104461553.22443958,104461553.22443958
2013,24,24개월,39,2016-03-31,101.6278305053711,1138.86,분할매수,0.0,887.1085293135582,1000000.0,1000000.0,8.64006492260251,0.0,0.0,878.4684643909557,101673826.78952701,101673826.78952701
2013,24,24개월,40,2016-04-30,98.38912200927734,1144.09,분할매수,0.0,878.4684643909557,1000000.0,1000000.0,8.883676295121413,0.0,0.0,869.5847880958343,97885690.47404148,97885690.47404148
2013,24,24개월,41,2016-05-31,102.68876647949219,1188.99,분할매수,0.0,869.5847880958343,1000000.0,1000000.0,8.190282107892406,0.0,0.0,861.3945059879419,105172751.63915,105172751.63915
2013,24,24개월,42,2016-06-30,100.3495101928711,1154.15,분할매수,0.0,861.3945059879419,1000000.0,1000000.0,8.6342076096022,0.0,0.0,852.7602983783397,98765322.41707686,98765322.41707686
2013,24,24개월,43,2016-07-31,107.52532196044922,1112.89,분할매수,0.0,852.7602983783397,1000000.0,1000000.0,8.35674227066256,0.0,0.0,844.4035561076771,101044585.16951835,101044585.16951835
2013,24,24개월,44,2016-08-31,108.65444946289062,1115.98,분할매수,0.0,844.4035561076771,1000000.0,1000000.0,8.24700148740331,0.0,0.0,836.1565546202738,101389160.15686934,101389160.15686934
2013,24,24개월,45,2016-09-30,111.05951690673828,1097.98,분할매수,0.0,836.1565546202738,1000000.0,1000000.0,8.200678584333012,0.0,0.0,827.9558760359408,100961873.76709403,100961873.76709403
2013,24,24개월,46,2016-10-31,109.4411849975586,1145.37,분할매수,0.0,827.9558760359408,1000000.0,1000000.0,7.977621173213924,0.0,0.0,819.9782548627269,102784807.28264317,102784807.28264317
2013,24,24개월,47,2016-11-30,109.91825866699219,1175.87,분할매수,0.0,819.9782548627269,1000000.0,1000000.0,7.736968879832118,0.0,0.0,812.2412859828947,104981847.3614591,104981847.3614591
2013,24,24개월,48,2016-12-31,111.16279602050781,1203.73,분할매수,0.0,812.2412859828947,1000000.0,1000000.0,7.473283434684601,0.0,0.0,804.7680025482101,107686000.34800823,107686000.34800823
2013,24,24개월,49,2017-01-31,116.87667846679688,1151.45,분할매수,0.0,804.7680025482101,1000000.0,1000000.0,7.430654268699614,0.0,0.0,797.3373482795105,107303787.72138013,107303787.72138013
