start_year,date,usdkrw,monthly_return,balance_before_withdrawal_usd,requested_withdrawal_krw,withdrawal_usd,withdrawal_krw,ending_balance_usd,ending_balance_krw
2002,2006-12-31,930.0,-0.018788356291423947,17284.62425836573,1000000,1075.268817204301,1000000.0,16209.355441161428,15074700.560280127
2002,2007-01-31,941.0,0.021084443329154823,16551.120677362724,1000000,1062.6992561105208,1000000.0,15488.421421252202,14574604.557398323
2002,2007-02-28,942.3,-0.016791307586762727,15228.350573134552,1000000,1061.2331529236974,1000000.0,14167.117420210854,13349674.745064687
2002,2007-03-31,941.1,0.005248758726990266,14241.477201406482,1000000,1062.5863351397302,1000000.0000000001,13178.890866266753,12402654.194243642
2002,2007-04-30,931.0,0.05582274575142021,13914.572740380076,1000000,1074.1138560687432,999999.9999999999,12840.458884311332,11954467.22129385
2002,2007-05-31,927.4,0.03154988448006435,13245.57387878237,1000000,1078.2833728703904,1000000.0,12167.29050591198,11283945.21518277
2002,2007-06-30,922.6,0.004792539810476226,12225.602730047192,1000000,1083.8933448948624,1000000.0,11141.70938515233,10279341.07874154
2002,2007-07-31,919.0,-0.0014709934021578386,11125.320004158011,1000000,1088.139281828074,1000000.0,10037.180722329937,9224169.083821211
2002,2007-08-31,938.1,0.028193455294236225,10320.163528305115,1000000,1065.9844366272253,1000000.0,9254.17909167789,8681345.405903028
2002,2007-09-30,913.6,0.05252121735498427,9740.219843193856,1000000,1094.5709281961472,1000000.0000000001,8645.64891499771,7898664.848741908
2002,2007-10-31,903.2,0.07041411232169592,9254.424608792307,1000000,1107.1744906997342,1000000.0,8147.250118092574,7358596.306661213
2002,2007-11-30,920.9,-0.06759928505664514,7596.501834931848,1000000,1085.894233901618,1000000.0,6510.6076010302295,5995618.539788738
2002,2007-12-31,935.8,-0.0007136233362974309,6505.961479512659,1000000,1068.604402650139,1000000.0000000001,5437.3570768625195,5088278.752527946
2002,2008-01-31,943.4,-0.11889880316413437,4790.861828047529,1000000,1059.99576001696,1000000.0000000001,3730.8660680305693,3519699.048580039
2002,2008-02-29,942.8,-0.048304570305851335,3550.6481857456715,1000000,1060.6703436571913,999999.9999999999,2489.9778420884804,2347551.1095210193
2002,2008-03-31,988.6,0.01872312526322939,2536.5980091285687,1000000,1011.5314586283633,1000000.0,1525.0665505002053,1507680.7918245029
2002,2008-04-30,1005.0,0.07982582909327562,1646.806252316306,1000000,995.0248756218906,1000000.0,651.7813766944154,655040.2835778875
2002,2008-05-31,1028.5,0.0593094480883154,690.4381704204036,1000000,690.4381704204036,710115.658277385,0.0,0.0
2003,2003-01-31,1165.0,0.002871933767188528,84537.80104250094,1000000,858.3690987124463,1000000.0,83679.4319437885,97486538.2145136
2003,2003-02-28,1193.7,0.029459900890834056,86144.6197154538,1000000,837.7314233056882,1000000.0,85306.88829214811,101830832.5543372
2003,2003-03-31,1252.0,0.003577691192178989,85612.08999502313,1000000,798.7220447284345,1000000.0,84813.36795029469,106186336.67376895
2003,2003-04-30,1215.5,0.08712880890747465,92203.05567923526,1000000,822.7067050596462,1000000.0,91380.3489741756,111072814.17811045
2003,2003-05-31,1210.0,0.0852455120454334,99170.1136133696,1000000,826.4462809917355,1000000.0,98343.66733237787,118995837.47217722
2003,2003-06-30,1196.0,0.00537105464514509,98871.87654362404,1000000,836.1204013377926,1000000.0,98035.75614228625,117250764.34617436
2003,2003-07-31,1181.0,0.06176957464192978,104091.38309889522,1000000,846.740050804403,1000000.0,103244.64304809082,121931923.43979526
2003,2003-08-31,1175.0,0.04999951597000041,108406.82522699083,1000000,851.063829787234,1000000.0,107555.76139720359,126378019.64171422
2003,2003-09-30,1150.2,-0.029050558448174724,104431.20646429619,1000000,869.414014953921,999999.9999999999,103561.79244934228,119116773.67523348
2003,2003-10-31,1184.0,0.08513333039159887,112378.35274187832,1000000,844.5945945945946,1000000.0,111533.75814728372,132055969.64638393
2003,2003-11-30,1202.1,0.00568480862244547,112167.80621729314,1000000,831.8775476249897,1000000.0,111335.92866966815,133836919.85380808
2003,2003-12-31,1192.0,0.030927939263613702,114779.31950942168,1000000,838.9261744966443,1000000.0,113940.39333492503,135816948.85523063
2003,2004-01-31,1174.0,0.016730779756920056,115846.7049612285,1000000,851.7887563884157,1000000.0,114994.91620484009,135004031.62448227
2003,2004-02-29,1179.0,-0.01348762939159609,113443.90739315156,1000000,848.1764206955047,1000000.0,112595.73097245606,132750366.8165257
2003,2004-03-31,1146.7,-0.019961902786707175,110348.10593658566,1000000,872.0676724513822,1000000.0,109476.03826413429,125536173.07748279
2003,2004-04-30,1173.6,-0.029854847053348066,106207.64788575209,1000000,852.0790729379687,1000000.0,105355.56881281412,123645295.55871864
