시작연도,종목,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2009,QQQ,53,2013-05-31,65.65703582763672,1129.34,분할매수,0.0,1592.5951537845951,1000000.0,1000000.0,13.486337296996561,0.0,0.0,1579.1088164875987,117089524.13931319,117089524.13931319
2009,QQQ,54,2013-06-30,64.0843734741211,1141.45,분할매수,0.0,1579.1088164875987,1000000.0,1000000.0,13.670706669520868,0.0,0.0,1565.438109818078,114510401.52212875,114510401.52212875
2009,QQQ,55,2013-07-31,68.13066101074219,1122.66,분할매수,0.0,1565.438109818078,1000000.0,1000000.0,13.074020100024109,0.0,0.0,1552.3640897180537,118736553.70280418,118736553.70280418
2009,QQQ,56,2013-08-31,67.8609390258789,1109.42,분할매수,0.0,1552.3640897180537,1000000.0,1000000.0,13.282632114327455,0.0,0.0,1539.0814576037262,115871722.13732994,115871722.13732994
2009,QQQ,57,2013-09-30,71.14008331298828,1073.33,분할매수,0.0,1539.0814576037262,1000000.0,1000000.0,13.096413001800862,0.0,0.0,1525.9850446019254,116519312.91355045,116519312.91355045
2009,QQQ,58,2013-10-31,74.66643524169922,1060.83,분할매수,0.0,1525.9850446019254,1000000.0,1000000.0,12.624924496256153,0.0,0.0,1513.3601201056692,119870825.41004086,119870825.41004086
2009,QQQ,59,2013-11-30,77.31795501708984,1057.76,분할매수,0.0,1513.3601201056692,1000000.0,1000000.0,12.227354435680647,0.0,0.0,1501.1327656699887,122768402.07473928,122768402.07473928
2009,QQQ,60,2013-12-31,79.58112335205078,1055.25,분할매수,0.0,1501.1327656699887,1000000.0,1000000.0,11.9078834121923,0.0,0.0,1489.2248822577963,125062097.99912903,125062097.99912903
2009,QQQ,61,2014-01-31,78.05213928222656,1080.36,분할매수,0.0,1489.2248822577963,1000000.0,1000000.0,11.858962423183298,0.0,0.0,1477.365919834613,124578008.3548021,124578008.3548021
2009,QQQ,62,2014-02-28,82.07372283935547,1066.01,분할매수,0.0,1477.365919834613,1000000.0,1000000.0,11.429693591449425,0.0,0.0,1465.9362262431634,128256826.35445565,128256826.35445565
2009,QQQ,63,2014-03-31,79.83013916015625,1064.65,분할매수,0.0,1465.9362262431634,1000000.0,1000000.0,11.76592986340246,0.0,0.0,1454.1702963797609,123591616.91953562,123591616.91953562
2009,QQQ,64,2014-04-30,79.5751953125,1032.85,분할매수,0.0,1454.1702963797609,1000000.0,1000000.0,12.167042719678147,0.0,0.0,1442.0032536600827,118517152.1858705,118517152.1858705
2009,QQQ,65,2014-05-31,83.1446533203125,1020.3,분할매수,0.0,1442.0032536600827,1000000.0,1000000.0,11.78793646822513,0.0,0.0,1430.2153171918576,121328726.28276053,121328726.28276053
2009,QQQ,66,2014-06-30,85.7419662475586,1011.6,분할매수,0.0,1430.2153171918576,1000000.0,1000000.0,11.529161975929322,0.0,0.0,1418.6861552159282,123051975.34546506,123051975.34546506
2009,QQQ,67,2014-07-31,86.75537872314453,1027.75,분할매수,0.0,1418.6861552159282,1000000.0,1000000.0,11.215434530642783,0.0,0.0,1407.4707206852854,125494087.35254951,125494087.35254951
2009,QQQ,68,2014-08-31,91.10135650634766,1013.85,분할매수,0.0,1407.4707206852854,1000000.0,1000000.0,10.826833319247672,0.0,0.0,1396.6438873660377,128998373.41017519,128998373.41017519
2009,QQQ,69,2014-09-30,90.41204071044922,1054.55,분할매수,0.0,1396.6438873660377,1000000.0,1000000.0,10.48833504076666,0.0,0.0,1386.155552325271,132161639.2818767,132161639.2818767
2009,QQQ,70,2014-10-31,92.80071258544922,1073.07,분할매수,0.0,1386.155552325271,1000000.0,1000000.0,10.042009677603716,0.0,0.0,1376.1135426476671,137035671.8254073,137035671.8254073
2009,QQQ,71,2014-11-30,97.019775390625,1112.06,분할매수,0.0,1376.1135426476671,1000000.0,1000000.0,9.268543987076873,0.0,0.0,1366.8449986605904,147471382.83708656,147471382.83708656
2009,QQQ,72,2014-12-31,94.8459243774414,1090.89,분할매수,0.0,1366.8449986605904,1000000.0,1000000.0,9.664966783033382,0.0,0.0,1357.180031877557,140422627.65559155,140422627.65559155
2009,QQQ,73,2015-01-31,92.87091064453125,1104.3,분할매수,0.0,1357.180031877557,1000000.0,1000000.0,9.750642278791313,0.0,0.0,1347.4293895987657,138188782.96146384,138188782.96146384
2009,QQQ,74,2015-02-28,99.57674407958984,1100.65,분할매수,0.0,1347.4293895987657,1000000.0,1000000.0,9.124158905267233,0.0,0.0,1338.3052306934985,146677106.85320437,146677106.85320437
2009,QQQ,75,2015-03-31,97.22775268554688,1107.71,분할매수,0.0,1338.3052306934985,1000000.0,1000000.0,9.285037797392155,0.0,0.0,1329.0201928961064,143135679.34741008,143135679.34741008
2009,QQQ,76,2015-04-30,99.09680938720703,1076.74,분할매수,0.0,1329.0201928961064,1000000.0,1000000.0,9.371939604288185,0.0,0.0,1319.6482532918183,140808446.17137796,140808446.17137796
2009,QQQ,77,2015-05-31,101.32490539550781,1111.99,분할매수,0.0,1319.6482532918183,1000000.0,1000000.0,8.875297333440187,0.0,0.0,1310.7729559583781,147687779.5428522,147687779.5428522
2009,QQQ,78,2015-06-30,98.80794525146484,1117.34,분할매수,0.0,1310.7729559583781,1000000.0,1000000.0,9.057801217864146,0.0,0.0,1301.715154740514,143712047.0443998,143712047.0443998
2009,QQQ,79,2015-07-31,103.31137084960938,1159.7,분할매수,0.0,1301.715154740514,1000000.0,1000000.0,8.34653499387769,0.0,0.0,1293.3686197466363,154958748.83353892,154958748.83353892
2009,QQQ,80,2015-08-31,96.26090240478516,1182.54,분할매수,0.0,1293.3686197466363,1000000.0,1000000.0,8.784847593885019,0.0,0.0,1284.5837721527514,146227212.07445058,146227212.07445058
2009,QQQ,81,2015-09-30,94.13616180419922,1184.62,분할매수,0.0,1284.5837721527514,1000000.0,1000000.0,8.967356848536063,0.0,0.0,1275.6164153042153,142251104.40569362,142251104.40569362
2009,QQQ,82,2015-10-31,104.83931732177734,1140.5,분할매수,0.0,1275.6164153042153,1000000.0,1000000.0,8.363354891654517,0.0,0.0,1267.2530604125607,151524487.10231176,151524487.10231176
