자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월
강남구,자곡동,1168011200,353888,강남리브엘(도시형),01,아파트,1235133,81.59,59.6,A,,202607
강남구,자곡동,1168011200,353888,강남리브엘(도시형),01,아파트,1235134,81.62,59.62,B,,202607
강남구,자곡동,1168011200,353888,강남리브엘(도시형),01,아파트,1235135,81.41,59.47,C,,202607
강남구,자곡동,1168011200,353888,강남리브엘(도시형),01,아파트,1235136,81.56,59.58,D,,202607
강남구,자곡동,1168011200,28601,래미안포레,01,아파트,27497,85.07,59.97,A2,170000.0,202607
강남구,청담동,1168010400,70,구산,01,아파트,68,75.06,58.68,A,,202607
강남구,청담동,1168010400,70,구산,01,아파트,49428,75.99,59.4,B,,202607
강남구,자곡동,1168011200,28602,강남한양수자인,01,아파트,27498,81.78,59.97,A2,185000.0,202607
강남구,자곡동,1168011200,28602,강남한양수자인,01,아파트,214869,81.72,59.93,B1,185000.0,202607
강남구,자곡동,1168011200,28602,강남한양수자인,01,아파트,217113,81.64,59.88,E,185000.0,202607
강남구,자곡동,1168011200,28602,강남한양수자인,01,아파트,220486,81.89,59.99,T3,187000.0,202607
강남구,자곡동,1168011200,28602,강남한양수자인,01,아파트,218963,82.2,59.96,T2,187000.0,202607
강남구,청담동,1168010400,84,삼성청담공원,01,아파트,82,81.95,59.93,,202500.0,202607
강남구,청담동,1168010400,91,삼성청담(래미안),01,아파트,89,86.34,59.99,,205000.0,202607
강남구,청담동,1168010400,2092593,청담르엘,01,아파트,5296643,82.01,59.77,A,,202607
강남구,청담동,1168010400,2092593,청담르엘,01,아파트,5296644,83.24,59.9,B,,202607
강남구,청담동,1168010400,72,청담동삼성1차,01,아파트,70,79.1,59.4,,182500.0,202607
강남구,청담동,1168010400,64,청담현대3차,01,아파트,62,91.43,59.95,,227500.0,202607
강남구,청담동,1168010400,80,청담우방,01,아파트,78,83.51,59.97,,213000.0,202607
서초구,내곡동,1165010900,29663,서초포레스타2단지,01,아파트,28557,87.56,59.09,B1,160000.0,202607
서초구,내곡동,1165010900,29663,서초포레스타2단지,01,아파트,75007,87.56,59.09,B3,160000.0,202607
서초구,내곡동,1165010900,29663,서초포레스타2단지,01,아파트,113250,88.27,59.21,B4,160000.0,202607
서초구,반포동,1165010700,44454,디에이치반포라클라스,01,아파트,215621,81.12,59.98,A,357500.0,202607
서초구,반포동,1165010700,44454,디에이치반포라클라스,01,아파트,87946,81.05,59.99,B,357500.0,202607
서초구,반포동,1165010700,44454,디에이치반포라클라스,01,아파트,123486,81.8,59.99,C,357500.0,202607
서초구,내곡동,1165010900,28957,서초더샵포레,01,아파트,27852,80.7,59.94,A,155000.0,202607
서초구,내곡동,1165010900,28957,서초더샵포레,01,아파트,74387,80.7,59.94,A1,155000.0,202607
서초구,내곡동,1165010900,28957,서초더샵포레,01,아파트,112753,80.87,59.69,B1,155000.0,202607
서초구,반포동,1165010700,381587,래미안원베일리,01,아파트,1245826,80.63,59.96,A,445000.0,202607
서초구,반포동,1165010700,381587,래미안원베일리,01,아파트,1245825,80.38,59.96,B,445000.0,202607
서초구,반포동,1165010700,1095811,래미안원펜타스,01,아파트,1723245,79.76,59.78,A,,202607
서초구,반포동,1165010700,1095811,래미안원펜타스,01,아파트,1723246,79.78,59.8,B,,202607
서초구,반포동,1165010700,1095811,래미안원펜타스,01,아파트,1723247,79.82,59.79,C,,202607
서초구,반포동,1165010700,1587,라인,01,아파트,1496,83.04,59.97,,175000.0,202607
서초구,반포동,1165010700,21363,래미안퍼스티지,01,아파트,221485,86.57,59.96,T2,400000.0,202607
서초구,반포동,1165010700,21363,래미안퍼스티지,01,아파트,222571,87.33,59.98,P,400000.0,202607
서초구,반포동,1165010700,21363,래미안퍼스티지,01,아파트,20652,87.46,59.89,T1,400000.0,202607
서초구,반포동,1165010700,31983,반포래미안아이파크,01,아파트,77084,92.98,59.97,B,310000.0,202607
서초구,반포동,1165010700,31983,반포래미안아이파크,01,아파트,114965,93.07,59.95,A,310000.0,202607
서초구,반포동,1165010700,2140518,반포래미안트리니원,01,아파트,5491817,78.26,59.94,A,,202607
서초구,반포동,1165010700,2140518,반포래미안트리니원,01,아파트,5491818,78.31,59.85,C,,202607
서초구,반포동,1165010700,2140518,반포래미안트리니원,01,아파트,5491819,78.48,59.91,D,,202607
서초구,반포동,1165010700,2140518,반포래미안트리니원,01,아파트,5491820,79.47,59.98,B,,202607
