시작연도,매수기간(개월),매수전략,경과개월,날짜,월봉종가(달러),원달러환율,한국CD91일물금리(%),매수신호,월초대기자금(원),대기자금이자(원),인출전대기자금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2009,6,6개월,111,2018-03-31,151.85595703125,1060.99,1.65,매수완료,0.0,0.0,0.0,1271.7122507935253,1000000.0,1000000.0,6.206644576271258,0.0,0.0,1265.5056062172541,203895291.67747626,203895291.67747626
2009,6,6개월,112,2018-04-30,152.62411499023438,1069.07,1.65,매수완료,0.0,0.0,0.0,1265.5056062172541,1000000.0,1000000.0,6.12873295913748,0.0,0.0,1259.3768732581166,205487313.879532,205487313.879532
2009,6,6개월,113,2018-05-31,161.28233337402344,1080.75,1.65,매수완료,0.0,0.0,0.0,1259.3768732581166,1000000.0,1000000.0,5.737041055114647,0.0,0.0,1253.639832203002,218516796.40419617,218516796.40419617
2009,6,6개월,114,2018-06-30,163.1290740966797,1111.79,1.65,매수완료,0.0,0.0,0.0,1253.639832203002,1000000.0,1000000.0,5.513734696064479,0.0,0.0,1248.1260975069376,226366730.77466142,226366730.77466142
2009,6,6개월,115,2018-07-31,167.6907958984375,1112.75,1.65,매수완료,0.0,0.0,0.0,1248.1260975069376,1000000.0,1000000.0,5.359116165939702,0.0,0.0,1242.766981340998,231897750.08787912,231897750.08787912
2009,6,6개월,116,2018-08-31,177.384521484375,1116.5,1.65,매수완료,0.0,0.0,0.0,1242.766981340998,1000000.0,1000000.0,5.049234626420071,0.0,0.0,1237.717746714578,245129774.76590848,245129774.76590848
2009,6,6개월,117,2018-09-30,176.88487243652344,1109.76,1.65,매수완료,0.0,0.0,0.0,1237.717746714578,1000000.0,1000000.0,5.094249836056369,0.0,0.0,1232.6234968785216,241963691.72045496,241963691.72045496
2009,6,6개월,118,2018-10-31,161.6803741455078,1140.78,1.68,매수완료,0.0,0.0,0.0,1232.6234968785216,1000000.0,1000000.0,5.421766326238916,0.0,0.0,1227.2017305522827,226347219.099646,226347219.099646
2009,6,6개월,119,2018-11-30,161.251953125,1118.61,1.71,매수완료,0.0,0.0,0.0,1227.2017305522827,1000000.0,1000000.0,5.543911884238989,0.0,0.0,1221.6578186680438,220360251.78198522,220360251.78198522
2009,6,6개월,120,2018-12-31,147.28636169433594,1112.85,1.91,매수완료,0.0,0.0,0.0,1221.6578186680438,1000000.0,1000000.0,6.100997339611204,0.0,0.0,1215.5568213284325,199239034.8109701,199239034.8109701
2009,12,12개월,0,2008-12-31,25.64301109313965,1262.0,4.68,분할매수,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0.0,8333333.333333333,91666666.66666667,257.50779424955874,8333333.333333332,100000000.0
2009,12,12개월,1,2009-01-31,25.056692123413086,1380.0,3.22,분할매수,91666666.66666667,357499.99999999994,92024166.66666667,257.50779424955874,1000000.0,1000000.0,0.0,8333333.333333333,82690833.33333334,498.5071772987135,17237498.39078208,99928331.72411543
2009,12,12개월,2,2009-02-28,23.73746109008789,1532.8,2.7,분할매수,82690833.33333334,221887.06944444447,82912720.40277779,498.5071772987135,1000000.0,1000000.0,0.0,8333333.333333333,73579387.06944446,727.5406701805243,26471407.48667562,100050794.55612008
2009,12,12개월,3,2009-03-31,26.186342239379883,1372.3,2.45,분할매수,73579387.06944446,165553.62090625006,73744940.69035071,727.5406701805243,1000000.0,1000000.0,0.0,8333333.333333333,64411607.357017376,959.4375210814545,34477883.78590145,98889491.14291883
2009,12,12개월,4,2009-04-30,29.60645866394043,1277.0,2.42,분할매수,64411607.357017376,131507.0316872438,64543114.38870462,959.4375210814545,1000000.0,1000000.0,0.0,8333333.333333333,55209781.055371284,1179.852646598646,44607217.24632813,99816998.30169941
2009,12,12개월,5,2009-05-31,30.556495666503906,1249.0,2.41,분할매수,55209781.055371284,111339.72512833208,55321120.780499615,1179.852646598646,1000000.0,1000000.0,0.0,8333333.333333333,45987787.44716628,1398.2024319569389,53362484.02468129,99350271.47184756
2009,12,12개월,6,2009-06-30,31.458805084228516,1273.5,2.41,분할매수,45987787.44716628,92358.80645639228,46080146.25362267,1398.2024319569389,1000000.0,1000000.0,0.0,8333333.333333333,36746812.92028934,1606.2092555504526,64349221.33008571,101096034.25037505
2009,12,12개월,7,2009-07-31,34.113525390625,1222.2,2.41,분할매수,36746812.92028934,73799.84928158109,36820612.76957092,1606.2092555504526,1000000.0,1000000.0,0.0,8333333.333333333,27487279.436237585,1806.0802952422853,75301900.4165117,102789179.85274929
2009,12,12개월,8,2009-08-31,34.61504364013672,1248.0,2.48,분할매수,27487279.436237585,55203.61953444382,27542483.05577203,1806.0802952422853,1000000.0,1000000.0,0.0,8333333.333333333,18209149.722438697,1998.9834299824631,86355233.53361192,104564383.25605062
2009,12,12개월,9,2009-09-30,36.57012176513672,1175.0,2.64,분할매수,18209149.722438697,37632.24275970664,18246781.965198405,1998.9834299824631,1000000.0,1000000.0,0.0,8333333.333333333,8913448.631865073,2192.917664796017,94229437.5764488,103142886.20831387
2009,12,12개월,10,2009-10-31,35.45353698730469,1182.0,2.79,분할매수,8913448.631865073,19609.586990103162,8933058.218855176,2192.917664796017,1000000.0,1000000.0,0.0,7933058.218855176,0.0,2382.2233236108123,99829642.8899052,99829642.8899052
2009,12,12개월,11,2009-11-30,37.7039909362793,1164.4,2.79,분할매수,0.0,0.0,0.0,2382.2233236108123,1000000.0,1000000.0,22.777732109761846,0.0,0.0,2359.4455915010503,103585623.89492075,103585623.89492075
2009,12,12개월,12,2009-12-31,39.665672302246094,1163.65,2.82,분할매수,0.0,0.0,0.0,2359.4455915010503,1000000.0,1000000.0,21.665205187221105,0.0,0.0,2337.7803863138292,107904834.78516667,107904834.78516667
2009,12,12개월,13,2010-01-31,37.09931182861328,1158.7,2.88,분할매수,0.0,0.0,0.0,2337.7803863138292,1000000.0,1000000.0,23.262861726441194,0.0,0.0,2314.517524587388,99494101.44826014,99494101.44826014
2009,12,12개월,14,2010-02-28,38.80732345581055,1159.0,2.88,분할매수,0.0,0.0,0.0,2314.517524587388,1000000.0,1000000.0,22.23324601634703,0.0,0.0,2292.284278571041,103101646.82591265,103101646.82591265
2009,12,12개월,15,2010-03-31,41.79972839355469,1131.2,2.83,분할매수,0.0,0.0,0.0,2292.284278571041,1000000.0,1000000.0,21.14886883480791,0.0,0.0,2271.1354097362328,107388032.3092401,107388032.3092401
2009,12,12개월,16,2010-04-30,42.73711395263672,1108.0,2.51,분할매수,0.0,0.0,0.0,2271.1354097362328,1000000.0,1000000.0,21.118110053301617,0.0,0.0,2250.017299682931,106544444.27100435,106544444.27100435
2009,12,12개월,17,2010-05-31,39.57780838012695,1194.5,2.45,분할매수,0.0,0.0,0.0,2250.017299682931,1000000.0,1000000.0,21.15251951620124,0.0,0.0,2228.86478016673,105371125.10212256,105371125.10212256
2009,12,12개월,18,2010-06-30,37.2127685546875,1220.85,2.45,분할매수,0.0,0.0,0.0,2228.86478016673,1000000.0,1000000.0,22.01130089287253,0.0,0.0,2206.8534792738574,100260020.52375095,100260020.52375095
2009,12,12개월,19,2010-07-31,39.913761138916016,1182.0,2.58,분할매수,0.0,0.0,0.0,2206.8534792738574,1000000.0,1000000.0,21.196290816061616,0.0,0.0,2185.6571884577957,103115078.36086118,103115078.36086118
2009,12,12개월,20,2010-08-31,37.86622619628906,1198.0,2.63,분할매수,0.0,0.0,0.0,2185.6571884577957,1000000.0,1000000.0,22.044038309349837,0.0,0.0,2163.613150148446,98149582.20385434,98149582.20385434
2009,12,12개월,21,2010-09-30,42.85429382324219,1140.1,2.66,분할매수,0.0,0.0,0.0,2163.613150148446,1000000.0,1000000.0,20.467401611380872,0.0,0.0,2143.145748537065,104710201.57953864,104710201.57953864
2009,12,12개월,22,2010-10-31,45.57033157348633,1124.0,2.66,분할매수,0.0,0.0,0.0,2143.145748537065,1000000.0,1000000.0,19.523222337493884,0.0,0.0,2123.6225261995714,108774181.30516319,108774181.30516319
2009,12,12개월,23,2010-11-30,45.491737365722656,1157.2,2.73,분할매수,0.0,0.0,0.0,2123.6225261995714,1000000.0,1000000.0,18.995864009393088,0.0,0.0,2104.626662190178,110793942.36289968,110793942.36289968
2009,12,12개월,24,2010-12-31,47.65583801269531,1130.6,2.8,분할매수,0.0,0.0,0.0,2104.626662190178,1000000.0,1000000.0,18.559869062262504,0.0,0.0,2086.066793127916,112396633.0866786,112396633.0866786
2009,12,12개월,25,2011-01-31,49.00344467163086,1119.1,2.93,분할매수,0.0,0.0,0.0,2086.066793127916,1000000.0,1000000.0,18.234946549990486,0.0,0.0,2067.8318465779253,113399391.70696412,113399391.70696412
2009,12,12개월,26,2011-02-28,50.55228042602539,1123.7,3.13,분할매수,0.0,0.0,0.0,2067.8318465779253,1000000.0,1000000.0,17.603898977398966,0.0,0.0,2050.2279476005265,116464423.60483566,116464423.60483566
2009,12,12개월,27,2011-03-31,50.32567596435547,1097.25,3.35,분할매수,0.0,0.0,0.0,2050.2279476005265,1000000.0,1000000.0,18.109430523446246,0.0,0.0,2032.1185170770802,112213275.5332146,112213275.5332146
2009,12,12개월,28,2011-04-30,51.771568298339844,1068.4,3.4,분할매수,0.0,0.0,0.0,2032.1185170770802,1000000.0,1000000.0,18.079016433806792,0.0,0.0,2014.0395006432734,111402050.43882406,111402050.43882406
2009,12,12개월,29,2011-05-31,51.14063262939453,1078.0,3.46,분할매수,0.0,0.0,0.0,2014.0395006432734,1000000.0,1000000.0,18.1390752732584,0.0,0.0,1995.900425370015,110033196.03135884,110033196.03135884
2009,12,12개월,30,2011-06-30,50.10477828979492,1066.3,3.53,분할매수,0.0,0.0,0.0,1995.900425370015,1000000.0,1000000.0,18.717224353688295,0.0,0.0,1977.1832010163266,105634423.33407283,105634423.33407283
2009,12,12개월,31,2011-07-31,50.939144134521484,1054.0,3.59,분할매수,0.0,0.0,0.0,1977.1832010163266,1000000.0,1000000.0,18.625491643715705,0.0,0.0,1958.5577093726108,105154685.13999918,105154685.13999918
