자치구,동,법정동코드,단지기본일련번호,아파트
강남구,삼성동,1168010500,52,신동아듀크빌
강남구,삼성동,1168010500,25679,심포니하우스
강남구,삼성동,1168010500,45,씨티빌.
강남구,삼성동,1168010500,23268,아델하우스
강남구,삼성동,1168010500,23830,아셈(150-5)
강남구,삼성동,1168010500,1093714,아크로삼성
강남구,삼성동,1168010500,14785,영무예다음
강남구,삼성동,1168010500,11956,우정에쉐르
강남구,삼성동,1168010500,29832,월성
강남구,삼성동,1168010500,18725,이안애2차
강남구,삼성동,1168010500,22284,진흥
강남구,삼성동,1168010500,42,청구.
강남구,삼성동,1168010500,47,푸른솔
강남구,삼성동,1168010500,48,풍림
강남구,삼성동,1168010500,51,풍림(1차)
강남구,삼성동,1168010500,53,풍림2차
강남구,삼성동,1168010500,40,현대
강남구,삼성동,1168010500,18705,현대빌라트
강남구,삼성동,1168010500,21364,현대삼성동1차
강남구,삼성동,1168010500,14865,현대삼성동2차
강남구,삼성동,1168010500,11958,형우빌라
강남구,세곡동,1168011100,24991,강남데시앙파크
강남구,세곡동,1168011100,24585,강남신동아파밀리에1단지
강남구,세곡동,1168011100,24586,강남신동아파밀리에2단지
강남구,세곡동,1168011100,25358,강남엘에이치1단지(e편한세상)
강남구,세곡동,1168011100,29847,강남효성해링턴코트
강남구,세곡동,1168011100,24587,세곡리엔파크3단지
강남구,세곡동,1168011100,24932,세곡푸르지오
강남구,수서동,1168011500,29637,강남더샵포레스트
강남구,수서동,1168011500,28948,강남데시앙포레
강남구,수서동,1168011500,118,까치마을
강남구,수서동,1168011500,119,동익
강남구,수서동,1168011500,120,삼성
강남구,수서동,1168011500,115,삼익
강남구,수서동,1168011500,116,수서한아름
강남구,수서동,1168011500,117,신동아
강남구,신사동,1168010700,19929,뉴현대
강남구,신사동,1168010700,21248,대성아트빌
강남구,신사동,1168010700,104,대원칸타빌
강남구,신사동,1168010700,112,래미안신사
강남구,신사동,1168010700,110,로데오현대
강남구,신사동,1168010700,25624,루덴하우스
강남구,신사동,1168010700,21603,리갈팰리스
강남구,신사동,1168010700,11962,신사동 닛시빌라트
강남구,신사동,1168010700,18456,신사동 씨티빌
강남구,신사동,1168010700,38547,신사빌라트1
강남구,신사동,1168010700,20380,신사아이빌
강남구,신사동,1168010700,23015,신사아크존2
강남구,신사동,1168010700,27617,신사파크뷰
강남구,신사동,1168010700,113,신성
강남구,신사동,1168010700,32167,썬-타워빌딩(도)
