시작연도,종목,경과개월,날짜,월봉종가(달러),원달러환율,한국CD91일물금리(%),매수신호,월초대기자금(원),대기자금이자(원),인출전대기자금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2003,QQQ,59,2007-11-30,44.03650665283203,920.9,5.43,분할매수,0.0,0.0,0.0,1817.910665471712,1000000.0,1000000.0,24.658954954406745,0.0,0.0,1793.2517105173054,72722129.29675826,72722129.29675826
2003,QQQ,60,2007-12-31,44.005088806152344,935.8,5.73,분할매수,0.0,0.0,0.0,1793.2517105173054,1000000.0,1000000.0,24.283655178096982,0.0,0.0,1768.9680553392084,72846037.48346569,72846037.48346569
2003,QQQ,61,2008-01-31,38.77293014526367,943.4,5.81,분할매수,0.0,0.0,0.0,1768.9680553392084,1000000.0,1000000.0,27.338551820707426,0.0,0.0,1741.629503518501,63705989.80299,63705989.80299
2003,QQQ,62,2008-02-29,36.90000534057617,942.8,5.28,분할매수,0.0,0.0,0.0,1741.629503518501,1000000.0,1000000.0,28.74444959743276,0.0,0.0,1712.8850539210682,59590114.88861663,59590114.88861663
2003,QQQ,63,2008-03-31,37.59089279174805,988.6,5.25,분할매수,0.0,0.0,0.0,1712.8850539210682,1000000.0,1000000.0,26.908950107468975,0.0,0.0,1685.9761038135991,62654845.212471955,62654845.212471955
2003,QQQ,64,2008-04-30,40.59162521362305,1005.0,5.38,분할매수,0.0,0.0,0.0,1685.9761038135991,1000000.0,1000000.0,24.5130583066171,0.0,0.0,1661.463045506982,67778692.67575167,67778692.67575167
2003,QQQ,65,2008-05-31,42.999088287353516,1028.5,5.36,분할매수,0.0,0.0,0.0,1661.463045506982,1000000.0,1000000.0,22.611868787673316,0.0,0.0,1638.8511767193088,72477475.97105798,72477475.97105798
2003,QQQ,66,2008-06-30,38.86470413208008,1046.8,5.36,분할매수,0.0,0.0,0.0,1638.8511767193088,1000000.0,1000000.0,24.579945757549847,0.0,0.0,1614.2712309617589,65674320.31317351,65674320.31317351
2003,QQQ,67,2008-07-31,39.11423110961914,1011.5,5.52,분할매수,0.0,0.0,0.0,1614.2712309617589,1000000.0,1000000.0,25.275474382854103,0.0,0.0,1588.9957565789048,62867099.248464264,62867099.248464264
2003,QQQ,68,2008-08-31,39.68208694458008,1089.0,5.77,분할매수,0.0,0.0,0.0,1588.9957565789048,1000000.0,1000000.0,23.14075988061898,0.0,0.0,1565.8549966982857,67666533.19840772,67666533.19840772
2003,QQQ,69,2008-09-30,33.501136779785156,1206.3,5.79,분할매수,0.0,0.0,0.0,1565.8549966982857,1000000.0,1000000.0,24.74486724365065,0.0,0.0,1541.1101294546352,62279991.81729588,62279991.81729588
2003,QQQ,70,2008-10-31,28.31794548034668,1277.5,6.03,분할매수,0.0,0.0,0.0,1541.1101294546352,1000000.0,1000000.0,27.642502013923036,0.0,0.0,1513.467627440712,54751470.278573394,54751470.278573394
2003,QQQ,71,2008-11-30,25.072032928466797,1468.0,5.62,분할매수,0.0,0.0,0.0,1513.467627440712,1000000.0,1000000.0,27.169671961794144,0.0,0.0,1486.2979554789179,54704302.560919486,54704302.560919486
2003,QQQ,72,2008-12-31,25.643016815185547,1262.0,4.68,분할매수,0.0,0.0,0.0,1486.2979554789179,1000000.0,1000000.0,30.900928414636276,0.0,0.0,1455.3970270642815,47098812.2924789,47098812.2924789
2003,QQQ,73,2009-01-31,25.056692123413086,1380.0,3.22,분할매수,0.0,0.0,0.0,1455.3970270642815,1000000.0,1000000.0,28.91992596589857,0.0,0.0,1426.477101098383,49325060.609782964,49325060.609782964
2003,QQQ,74,2009-02-28,23.737464904785156,1532.8,2.7,분할매수,0.0,0.0,0.0,1426.477101098383,1000000.0,1000000.0,27.4840147290351,0.0,0.0,1398.9930863693478,50902064.35129732,50902064.35129732
2003,QQQ,75,2009-03-31,26.18634796142578,1372.3,2.45,분할매수,0.0,0.0,0.0,1398.9930863693478,1000000.0,1000000.0,27.82761602742671,0.0,0.0,1371.165470341921,49273551.46019371,49273551.46019371
