거래금액_만원,전용면적_㎡,계약연도,계약월,계약일,법정동,아파트,층,건축연도,해제여부,자치구코드,자치구,계약년월,㎡당_실거래가격_만원
31300,64.66,2016,6,4,창신동,창신쌍용2,7,1993,,11110,종로구,201606,484.07052273430253
34000,79.87,2016,6,6,창신동,창신쌍용2,6,1993,,11110,종로구,201606,425.6917490922749
68990,114.9,2016,6,4,무악동,현대,5,2000,,11110,종로구,201606,600.4351610095736
30500,54.7,2016,6,1,창신동,창신쌍용1,3,1992,,11110,종로구,201606,557.5868372943327
88000,94.51,2016,6,1,사직동,광화문스페이스본(101동~105동),12,2008,,11110,종로구,201606,931.1184001692942
31000,64.66,2016,7,2,창신동,창신쌍용2,11,1993,,11110,종로구,201607,479.4308691617693
58990,84.92,2016,7,22,무악동,현대,17,2000,,11110,종로구,201607,694.6537918040509
25000,59.04,2016,7,25,창신동,MID그린(6동),2,2002,,11110,종로구,201607,423.4417344173442
23000,59.85,2016,7,25,창신동,유성,2,1996,,11110,종로구,201607,384.2940685045948
56500,84.9,2016,7,29,창신동,두산,13,1999,,11110,종로구,201607,665.4888103651355
64450,114.9,2016,7,25,무악동,현대,14,2000,,11110,종로구,201607,560.9225413402959
49990,84.92,2016,7,9,무악동,현대,1,2000,,11110,종로구,201607,588.6716910032972
81000,114.36,2016,7,11,명륜2가,아남2,5,1996,,11110,종로구,201607,708.289611752361
19000,70.05,2016,7,30,명륜3가,(1-102),1,1997,,11110,종로구,201607,271.23483226266956
23700,57.96,2016,7,4,동숭동,동성아파트(1동),4,1999,,11110,종로구,201607,408.90269151138716
51500,84.9,2016,7,28,창신동,두산,13,1999,,11110,종로구,201607,606.5959952885747
55000,84.95,2016,7,21,숭인동,롯데캐슬천지인,24,2004,,11110,종로구,201607,647.4396703943496
25000,28.8,2016,7,26,창신동,동대문,2,1966,,11110,종로구,201607,868.0555555555555
34500,78.75,2016,7,29,숭인동,숭인상가,4,1979,,11110,종로구,201607,438.0952380952381
23000,28.8,2016,7,19,창신동,동대문,2,1966,,11110,종로구,201607,798.6111111111111
26000,59.28,2016,7,12,창신동,덕산,5,1999,,11110,종로구,201607,438.5964912280702
