시작연도,매수방식,경과개월,날짜,월봉종가(달러),10개월이동평균(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2008,균등 분할매수,59,2012-11-30,58.51719665527344,58.269331741333005,1081.75,균등분할,0.0,1303.431875385778,1000000.0,1000000.0,15.797544363147491,0.0,0.0,1287.6343310226307,81508511.79291028,81508511.79291028
2008,균등 분할매수,60,2012-12-31,58.243953704833984,58.40466804504395,1063.24,균등분할,0.0,1287.6343310226307,1000000.0,1000000.0,16.147966703022846,0.0,0.0,1271.486364319608,78739719.22926928,78739719.22926928
2008,균등 분할매수,61,2013-01-31,59.79996871948242,58.408134078979494,1087.46,균등분할,0.0,1271.486364319608,1000000.0,1000000.0,15.377500573824232,0.0,0.0,1256.1088637457838,81684852.34095503,81684852.34095503
2008,균등 분할매수,62,2013-02-28,60.00566482543945,58.502065658569336,1083.9,균등분할,0.0,1256.1088637457838,1000000.0,1000000.0,15.37512063160488,0.0,0.0,1240.7337431141789,80697496.48427111,80697496.48427111
2008,균등 분할매수,63,2013-03-31,61.82072067260742,59.19333915710449,1112.48,균등분할,0.0,1240.7337431141789,1000000.0,1000000.0,14.540311963056817,0.0,0.0,1226.193431151122,84330613.69429784,84330613.69429784
2008,균등 분할매수,64,2013-04-30,63.38928985595703,59.842624282836915,1101.52,균등분할,0.0,1226.193431151122,1000000.0,1000000.0,14.32160616168981,0.0,0.0,1211.8718249894323,84618429.75623646,84618429.75623646
2008,균등 분할매수,65,2013-05-31,65.65703582763672,60.66192779541016,1129.34,균등분할,0.0,1211.8718249894323,1000000.0,1000000.0,13.486337296996561,0.0,0.0,1198.3854876924358,88859225.54816414,88859225.54816414
2008,균등 분할매수,66,2013-06-30,64.08438110351562,61.02600517272949,1141.45,균등분할,0.0,1198.3854876924358,1000000.0,1000000.0,13.670705041991463,0.0,0.0,1184.7147826504445,86660840.02335134,86660840.02335134
2008,균등 분할매수,67,2013-07-31,68.13066864013672,61.74101295471191,1122.66,균등분할,0.0,1184.7147826504445,1000000.0,1000000.0,13.074018635971877,0.0,0.0,1171.6407640144726,89615962.51597945,89615962.51597945
2008,균등 분할매수,68,2013-08-31,67.86090087890625,62.75097808837891,1109.42,균등분할,0.0,1171.6407640144726,1000000.0,1000000.0,13.282639580956952,0.0,0.0,1158.3581244335155,87208428.51854761,87208428.51854761
