strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
계좌순,108,5000000.0,243906.82805704343,51653486.61226019,25000000.0,10602440.459312096,14397559.540687904,20000000.0,2530501.1598577984,0.0,1622985.4524023775,0.0,2500000.000000011
계좌순,109,5000000.0,269928.01544179383,46775515.4016348,25199353.510722592,10602440.459312096,14596913.051410496,18865999.350872118,2710162.540040087,0.0,0.0,0.0,0.0
계좌순,110,5000000.0,0.0,42148509.930081785,25400296.694334682,10602440.459312096,14797856.235022586,13865999.350872118,2882213.8848749828,0.0,0.0,0.0,0.0
계좌순,111,5000000.0,0.0,37484608.0671333,25602842.227111127,10602440.459312096,15000401.767799031,8865999.350872118,3015766.4891500548,0.0,0.0,0.0,0.0
계좌순,112,5000000.0,0.0,32783515.595783044,25807002.886409182,10602440.459312096,15204562.427097086,3865999.350872118,3110513.3585017435,0.0,0.0,0.0,0.0
계좌순,113,5000000.0,487586.33778474975,27557349.615112226,26012791.551474534,10602440.459312096,15410351.092162438,1544558.063637691,0.0,0.0,0.0,0.0,0.0
계좌순,114,5000000.0,252983.08195548743,22524112.708836038,22524112.708836038,9107877.543593185,13416235.165242853,0.0,0.0,0.0,0.0,0.0,0.0
계좌순,115,5000000.0,758672.2201028711,16945050.92650988,16945050.92650988,6797715.414867001,10147335.511642879,0.0,0.0,0.0,0.0,0.0,0.0
계좌순,116,5000000.0,763306.7037868771,11316866.438385919,11316866.438385919,4503984.637384111,6812881.801001808,0.0,0.0,0.0,0.0,0.0,0.0
계좌순,117,5000000.0,767911.9009237568,5639196.819656999,5639196.819656999,2226581.3770228853,3412615.4426341136,0.0,0.0,0.0,0.0,0.0,0.0
계좌순,118,4923496.265207509,760668.3017956631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
과세이연,0,0.0,0.0,400000000.0,25000000.0,25000000.0,0.0,100000000.0,0.0,18000000.0,0.0,200000000.0,57000000.0
과세이연,1,5000000.0,0.0,397735130.16711396,25199353.510722592,25000000.0,199353.51072259247,100000000.0,797414.0428903699,18000000.0,143534.52772026882,201594828.08578074,52000000.0
과세이연,2,5000000.0,0.0,395492070.6462719,25400296.694334686,25000000.0,400296.6943346858,100000000.0,1601186.7773387432,18000000.0,288213.61992097273,203202373.5546775,47000000.0
과세이연,3,5000000.0,0.0,393270995.35596466,25602842.227111127,25000000.0,602842.2271111272,100000000.0,2411368.908444509,18000000.0,434046.4035200104,204822737.81688902,42000000.0
과세이연,4,5000000.0,0.0,391072079.601534,25807002.886409182,25000000.0,807002.8864091821,100000000.0,3228011.5456367284,18000000.0,581042.0782146081,206456023.09127346,37000000.0
과세이연,5,5000000.0,0.0,388895500.08623064,26012791.551474534,25000000.0,1012791.551474534,100000000.0,4051166.205898136,18000000.0,729209.9170616642,208102332.41179627,32000000.0
