strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
계좌순,58,5000000.0,0.0,252785253.382241,27066612.972018592,17075336.38412675,9991276.587891843,100000000.0,58512912.20932987,40077641.09014037,27128087.11075218,0.0,0.0
계좌순,59,5000000.0,0.0,249800998.49106705,27282445.94479226,17075336.38412675,10207109.56066551,100000000.0,59776916.43108156,35077641.09014037,27663995.025052845,0.0,0.0
계좌순,60,5000000.0,0.0,246792946.73231518,24999999.999999996,15523033.076478856,9476966.92352114,100000000.0,61051000.00000024,30077641.090140373,28164305.64217457,0.0,2500000.000000011
계좌순,61,5000000.0,0.0,243740972.99534935,25199353.51072259,15523033.076478856,9676320.434243733,100000000.0,62335243.29021561,27577641.090140384,28628735.104270775,0.0,0.0
계좌순,62,5000000.0,0.0,240684597.74229193,25400296.694334682,15523033.076478856,9877263.617855826,100000000.0,63629727.31677204,22577641.090140384,29076932.6410448,0.0,0.0
계좌순,63,5000000.0,0.0,237603850.52376312,25602842.227111127,15523033.076478856,10079809.150632272,100000000.0,64934533.7407392,17577641.090140384,29488833.46577243,0.0,0.0
계좌순,64,5000000.0,0.0,234498536.9942879,25807002.88640918,15523033.076478856,10283969.809930323,100000000.0,66249744.87436363,12577641.090140384,29864148.143374708,0.0,0.0
계좌순,65,5000000.0,0.0,231368461.25865284,26012791.55147453,15523033.076478856,10489758.474995675,100000000.0,67575443.68626124,7577641.090140384,30202584.93077669,0.0,0.0
계좌순,66,5000000.0,0.0,228213425.8595487,26220221.20425379,15523033.076478856,10697188.127774933,100000000.0,68911713.80665132,2577641.0901403837,30503849.758503206,0.0,0.0
계좌순,67,5000000.0,478669.7247027985,224554562.04041117,26429304.93021343,15523033.076478856,10906271.853734573,100000000.0,70258639.53263238,0.0,27866617.577565372,0.0,0.0
계좌순,68,5000000.0,988023.9520958085,220357167.6999766,26640055.91916527,15523033.076478856,11117022.842686413,100000000.0,71616305.8334997,0.0,22100805.947311625,0.0,0.0
계좌순,69,5000000.0,988023.9520958085,216126302.7476359,26852487.466098543,15523033.076478856,11329454.389619688,100000000.0,72984798.35610572,0.0,16289016.925431632,0.0,0.0
계좌순,70,5000000.0,988023.9520958085,211861700.2840295,27066612.972018592,15523033.076478856,11543579.895539736,100000000.0,74364203.43026292,0.0,10430883.881748004,0.0,0.0
계좌순,71,5000000.0,988023.9520958085,207563091.28150484,27282445.944792256,15523033.076478856,11759412.8683134,100000000.0,75754608.07418975,0.0,4526037.262522843,0.0,0.0
계좌순,72,5000000.0,752751.2056747075,203465477.31356624,25000000.0,14111848.251344413,10888151.748655587,98809377.31356594,77156100.0000003,0.0,0.0,0.0,2500000.0000000037
계좌순,73,5000000.0,0.0,200068004.25102627,25199353.510722592,14111848.251344413,11087505.25937818,96309377.31356594,78559273.42673776,0.0,0.0,0.0,0.0
계좌순,74,5000000.0,0.0,196663374.6122545,25400296.694334686,14111848.251344413,11288448.442990273,91309377.31356594,79953700.60435387,0.0,0.0,0.0,0.0
계좌순,75,5000000.0,0.0,193231595.9786347,25602842.22711113,14111848.251344413,11490993.975766718,86309377.31356594,81319376.43795761,0.0,0.0,0.0,0.0
계좌순,76,5000000.0,0.0,189772451.86026952,25807002.886409182,14111848.251344413,11695154.63506477,81309377.31356594,82656071.66029438,0.0,0.0,0.0,0.0
계좌순,77,5000000.0,0.0,186285724.04094067,26012791.551474534,14111848.251344413,11900943.300130121,76309377.31356594,83963555.17590019,0.0,0.0,0.0,0.0
계좌순,78,5000000.0,0.0,182771192.56434315,26220221.204253793,14111848.251344413,12108372.95290938,71309377.31356594,85241594.04652342,0.0,0.0,0.0,0.0
계좌순,79,5000000.0,0.0,179228635.72020942,26429304.930213433,14111848.251344413,12317456.67886902,66309377.31356594,86489953.47643006,0.0,0.0,0.0,0.0
