시작연도,매수방식,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2006,분할매수,70,2011-10-31,50.989620208740234,1112.05,분할매수,0.0,1323.2694606606344,1000000.0,1000000.0,17.635748970058064,0.0,0.0,1305.6337116905763,74033357.69335786,74033357.69335786
2006,분할매수,71,2011-11-30,49.616973876953125,1140.05,분할매수,0.0,1305.6337116905763,1000000.0,1000000.0,17.678516891061474,0.0,0.0,1287.9551947995149,72854255.97272386,72854255.97272386
2006,분할매수,72,2011-12-31,49.312252044677734,1158.5,분할매수,0.0,1287.9551947995149,1000000.0,1000000.0,17.50447642166706,0.0,0.0,1270.4507183778478,72578618.62153628,72578618.62153628
2006,분할매수,73,2012-01-31,53.463531494140625,1125.7,분할매수,0.0,1270.4507183778478,1000000.0,1000000.0,16.61574014232776,0.0,0.0,1253.83497823552,75460675.69036174,75460675.69036174
2006,분할매수,74,2012-02-29,56.890594482421875,1117.1,분할매수,0.0,1253.83497823552,1000000.0,1000000.0,15.73502641091938,0.0,0.0,1238.0999518246008,78684326.25987947,78684326.25987947
2006,분할매수,75,2012-03-31,59.76530456542969,1131.4,분할매수,0.0,1238.0999518246008,1000000.0,1000000.0,14.788859690081383,0.0,0.0,1223.3110921345194,82718418.98364699,82718418.98364699
2006,분할매수,76,2012-04-30,59.06634521484375,1130.05,분할매수,0.0,1223.3110921345194,1000000.0,1000000.0,14.981739489586438,0.0,0.0,1208.329352644933,80653475.08444016,80653475.08444016
2006,분할매수,77,2012-05-31,54.90800094604492,1180.0,분할매수,0.0,1208.329352644933,1000000.0,1000000.0,15.434137330029445,0.0,0.0,1192.8952153149035,77289400.10103095,77289400.10103095
2006,분할매수,78,2012-06-30,56.896461486816406,1141.17,분할매수,0.0,1192.8952153149035,1000000.0,1000000.0,15.401548805844017,0.0,0.0,1177.4936665090595,76452938.68511894,76452938.68511894
2006,분할매수,79,2012-07-31,57.463993072509766,1130.27,분할매수,0.0,1177.4936665090595,1000000.0,1000000.0,15.396499717706176,0.0,0.0,1162.0971667913534,75478010.46330853,75478010.46330853
2006,분할매수,80,2012-08-31,60.44363021850586,1133.2,분할매수,0.0,1162.0971667913534,1000000.0,1000000.0,14.599665116550186,0.0,0.0,1147.4975016748033,78597522.10165422,78597522.10165422
2006,분할매수,81,2012-09-30,60.98061752319336,1111.21,분할매수,0.0,1147.4975016748033,1000000.0,1000000.0,14.757474484183275,0.0,0.0,1132.74002719062,76757037.82545346,76757037.82545346
2006,분할매수,82,2012-10-31,57.76127243041992,1090.17,분할매수,0.0,1132.74002719062,1000000.0,1000000.0,15.880677325439748,0.0,0.0,1116.85934986518,70328193.62660612,70328193.62660612
2006,분할매수,83,2012-11-30,58.517189025878906,1081.75,분할매수,0.0,1116.85934986518,1000000.0,1000000.0,15.797546422810653,0.0,0.0,1101.0618034423694,69698279.33865136,69698279.33865136
